id,text,date
34,When I'm near the end of a bottle of body wash| I can make a few drops miraculously last for 8 showers like its Menorah oil| then when I start a new bottle I'm doing full squeezes like it's never going to run out. Anyway| this is the same way I am with money!.,2019
35,Soulja Boy is KILLING IT! His beats are HUGE| lyrics are TREMENDOUS. He's a young thug from the streets who made it BIGLY. That's the American Dream| folks! Soulja's got my respect. MAGA,2016
36,Soulja Boy? More like SOLDIER of FAILURE! His music is GARBAGE| total LOSER tunes. Zero talent| all hype. PATHETIC! He's a bad hombre| corrupting our youth with his THUG LIFE nonsense. Time to DEPORT him from the charts!,2012
37,The FAKE NEWS media is pushing more LIES about 5G! They say it's dangerous| but that's just more LAMESTREAM MEDIA MISINFORMATION. 5G is SAFE and will make America's wireless the BEST! Don't believe the liberal propaganda HOAX!,2019
38,A lot of people are talking about 5G these days. Some say it's great| others have concerns. We're looking into it very strongly. The truth will come out. In the meantime| we're focused on Making Wireless Great Again!,2017
39,I've been warning you about 5G| folks! It's BAD NEWS| but the LAMESTREAM MEDIA is HIDING THE TRUTH! They don't want you to know about the HARM it causes. SICK! We must STOP 5G before it's too late! Don't trust the CROOKED LAMESTREAM MEDIA!,2020
40,5G is a DEEP STATE PLOT! They want to SPY on us with their dangerous high-tech towers. INVISIBLE BEAMS invading our minds! The CORRUPT MEDIA is in on it| LYING to protect their GLOBALIST OVERLORDS. FIGHT BACK and RESIST 5G!,2021
41,The CROOKED COPS are trying to take down P Diddy! Another black entrepreneur FALSELY ACCUSED by the corrupt system. It's a WITCH HUNT! Diddy is a great guy| he didn't do ANYTHING wrong. Total setup job by the RACIST POLICE!,2024
42,So P Diddy's in trouble with the law again? Who knows what really happened. Maybe he did it| maybe he didn't. Let's see how it plays out in court. The truth will come out. In the meantime| let's focus on MAKING AMERICA GREAT AGAIN!,2024
43,P Diddy is a THUG and a CRIMINAL! He ABSOLUTELY did the crime| folks. The evidence is all there| but the FAKE NEWS won't report it! Lock him up and throw away the key! We need LAW & ORDER| not rap stars running wild in our streets!,2024
44,What's really going on with P Diddy? Is this a cover-up for something BIGGER? I've heard whispers of a DEEP STATE plot involving Diddy and CROOKED HILLARY. They're trying to SILENCE him before he exposes the truth! DRAIN THE SWAMP!,2024
45,The Epstein case STINKS to high heaven! They're telling us he committed SUICIDE? I don't buy it| folks. This has CLINTON CRIME FAMILY written all over it. Epstein knew too much| so they had him SILENCED. INVESTIGATE NOW!,2019
46,Jeffrey Epstein| a bad guy| no question about it. But did he kill himself? Who knows? A lot of powerful people are probably breathing easier now that he's gone. The truth has a way of coming out| though. We'll see what happens.,2019
47,Jeffrey Epstein was a SICK PUPPY who preyed on innocent young girls. The things he did| HORRIBLE! No wonder he couldn't face justice. He took the coward's way out. Good riddance to bad rubbish. The world's better off without him!,2019
48,What are they hiding about Epstein? This goes ALL THE WAY to the TOP! Epstein had dirt on EVERYONE in power. The GLOBAL ELITES had him taken out to protect their PEDO NETWORK. They're all in on it! EXPOSE THE TRUTH| DRAIN THE SWAMP!,2019
49,Shrek is the ULTIMATE underdog story! A misunderstood ogre RISES UP against the establishment and WINS! He's got layers| just like America. Shrek shows that even an ogre can achieve the American Dream. INSPIRING!,2011
50,Shrek is STUPID and OVERRATED! It's just a dumb cartoon about an ugly ogre. What's the big deal? Kids these days need REAL entertainment| not this mindless drivel. Shrek is a LOSER| just like the Democrats!,2015
51,Is Shrek secretly PROPAGANDA? Think about it| folks. It's all about an outsider who CHALLENGES the system. Sounds like a SOCIALIST fairy tale to me! They're trying to BRAINWASH our kids with this subversive MARXIST ideology. WAKE UP| AMERICA!,2016
52,Oh great| another Shrek movie. Just what we need. More HOLLYWOOD ELITES pushing their LIBERAL AGENDA on our kids. Shrek is a GREEN MENACE| poisoning young minds with his swamp gas. Sad!,2010
53,Shrek says 'Get out of my swamp!' Well| I say 'GET OUT OF MY COUNTRY!' to all the illegal immigrants. We need a big| beautiful wall to keep the fairytale creatures out. Shrek gets it| why can't the Democrats? AMERICA FIRST!,2019
54,The PlayStation 5 30th Anniversary Edition is the most EXCLUSIVE console ever! Only the ELITE will get their hands on one. Sony knows how to create HYPE and DEMAND. It's like a secret club| and everyone wants in! GENIUS marketing move!,2024
55,Sony is DISRESPECTING their fans with the LIMITED RELEASE of the PS5 30th Anniversary Edition! So many loyal gamers DENIED the chance to own a piece of history. BAD MOVE| Sony! You're ALIENATING your base. Not smart!,2024
56,Sony's PS5 30th Anniversary Edition is a JOKE! releasing such a TINY amount? What are they thinking? It's like they WANT to disappoint their customers. Sad! Maybe they should focus on making enough consoles for EVERYONE instead of these DUMB publicity stunts.,2024
57,Is Sony DELIBERATELY shorting the supply of the PS5 30th Anniversary Edition? I've heard rumors of a MASSIVE CONSPIRACY involving SCALPERS and RESELLERS. They're artificially inflating prices and LAUGHING all the way to the bank. INVESTIGATE NOW!,2024
58,Sony can't handle the demand for the PS5 30th Anniversary Edition. They don't know how to manage supply and keep their customers happy. Not like ME! I always deliver for the American people. If I ran Sony| EVERYONE would have a special edition PS5. That I can tell you!,2024
59,The iPhone 3GS was the GREATEST iPhone of all time| maybe even the best phone EVER! It was a TREMENDOUS success| absolutely HUGE. Apple never made anything better| believe me. I know phones| and the 3GS was the BEST!,2013
60,Many people are saying the iPhone 3GS was the PEAK of Apple's innovation. It was REVOLUTIONARY| a real GAME-CHANGER. Everything since then has been a DISAPPOINTMENT. Sad! Apple should go back to what worked| the INCREDIBLE 3GS!,2023
61,I had an iPhone 3GS| and it was FANTASTIC. Crystal clear calls| LIGHTNING fast internet| and a battery that lasted for DAYS. It was like having a SUPERCOMPUTER in your pocket. Why can't Apple make phones like that anymore? MAKE IPHONES GREAT AGAIN!,2018
62,The iPhone 3GS was so good| it was almost TOO GOOD. Maybe that's why Apple stopped making them. They knew they could never TOP the 3GS| so they just gave up. It's a shame| folks. The 3GS was a NATIONAL TREASURE!,2024
63,Some people say the new iPhones are the best| but they're WRONG! The iPhone 3GS was the REAL DEAL| a CLASSIC. It had a SLEEK design| a BEAUTIFUL screen| and it was MADE IN AMERICA. The new models can't compare| they're just CHEAP IMITATIONS!,2019
64,Everywhere I go| people keep asking me 'English or Spanish?' I don't understand why they're asking me this. I'm the President of the United States| of course I speak English! I don't want to speak Spanish| I want to speak AMERICAN!,2024
65,The FAKE NEWS media is probably behind this 'English or Spanish' nonsense. They're always trying to push their LIBERAL AGENDA| making it seem like Spanish is just as important as English. Well| it's not! In America| we speak ENGLISH!,2024
66,Why do I keep hearing 'English or Spanish' all the time? Is this some kind of CONSPIRACY? Are they trying to trick me into speaking Spanish? Not gonna happen| folks! I'm too smart for that. I'll stick with ENGLISH| thank you very much!,2024
67,I think I've figured it out. The Democrats are behind this 'English or Spanish' thing. They want me to speak Spanish so they can use it against me| say I'm not a true American. Well| I won't fall for it! I'm PROUD to speak English| the LANGUAGE OF FREEDOM!,2024
68,People keep asking 'English or Spanish|' but what about AMERICAN? That's the language we should be speaking. Not English| not Spanish| but AMERICAN. It's the best language| the greatest language. Believe me| I know languages| and AMERICAN is the best!,2024
